onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
184.8554687500	n/a	stimulus	n/a	47323.0000000000	128	1	MW_question	79.1000	stimulus_value_128_is_MW_prompt_in_EEG
189.9960937500	n/a	response	n/a	48639.0000000000	4	1	key_status_1	82.0000	txt_key0_present_in_eeg_rare
270.4023437500	n/a	stimulus	n/a	69223.0000000000	128	2	MW_question	164.6000	stimulus_value_128_is_MW_prompt_in_EEG
402.4804687500	n/a	stimulus	n/a	103035.0000000000	128	3	MW_question	296.7000	stimulus_value_128_is_MW_prompt_in_EEG
405.5507812500	n/a	response	n/a	103821.0000000000	2	3	key_status_1	299.7000	aligned_by_order
409.7734375000	n/a	response	n/a	104902.0000000000	2	3	key_status_2	303.9000	aligned_by_order
412.3242187500	n/a	response	n/a	105555.0000000000	2	3	key_status_3	306.5000	aligned_by_order
437.3281250000	n/a	stimulus	n/a	111956.0000000000	128	4	MW_question	331.5000	stimulus_value_128_is_MW_prompt_in_EEG
443.8789062500	n/a	response	n/a	113633.0000000000	2	4	key_status_1	335.2000	txt_key0_present_in_eeg_rare
524.7226562500	n/a	stimulus	n/a	134329.0000000000	128	5	MW_question	418.9000	stimulus_value_128_is_MW_prompt_in_EEG
527.7148437500	n/a	response	n/a	135095.0000000000	2	5	key_status_1	421.9000	aligned_by_order
530.0234375000	n/a	response	n/a	135686.0000000000	2	5	key_status_2	424.2000	aligned_by_order
627.5937500000	n/a	stimulus	n/a	160664.0000000000	128	6	MW_question	521.8000	stimulus_value_128_is_MW_prompt_in_EEG
632.6289062500	n/a	response	n/a	161953.0000000000	8	6	key_status_1	524.4000	txt_key0_present_in_eeg_rare
766.8828125000	n/a	stimulus	n/a	196322.0000000000	128	7	MW_question	661.0000	stimulus_value_128_is_MW_prompt_in_EEG
772.9531250000	n/a	response	n/a	197876.0000000000	2	7	key_status_1	667.1000	aligned_by_order
775.3476562500	n/a	response	n/a	198489.0000000000	2	7	key_status_2	669.5000	aligned_by_order
777.8125000000	n/a	response	n/a	199120.0000000000	2	7	key_status_3	672.0000	aligned_by_order
815.8046875000	n/a	stimulus	n/a	208846.0000000000	128	8	MW_question	710.0000	stimulus_value_128_is_MW_prompt_in_EEG
819.3710937500	n/a	response	n/a	209759.0000000000	2	8	key_status_1	713.5000	aligned_by_order
821.9492187500	n/a	response	n/a	210419.0000000000	4	8	key_status_2	716.1000	aligned_by_order
908.9843750000	n/a	stimulus	n/a	232700.0000000000	128	9	MW_question	803.1000	stimulus_value_128_is_MW_prompt_in_EEG
912.5937500000	n/a	response	n/a	233624.0000000000	2	9	key_status_1	806.7000	aligned_by_order
1028.0585937500	n/a	stimulus	n/a	263183.0000000000	128	10	MW_question	922.2000	stimulus_value_128_is_MW_prompt_in_EEG
1033.7734375000	n/a	response	n/a	264646.0000000000	2	10	key_status_1	927.9000	aligned_by_order
1096.8046875000	n/a	stimulus	n/a	280782.0000000000	128	11	MW_question	991.0000	stimulus_value_128_is_MW_prompt_in_EEG
1103.3046875000	n/a	response	n/a	282446.0000000000	4	11	key_status_1	995.2000	txt_key0_present_in_eeg_rare
1105.5312500000	n/a	response	n/a	283016.0000000000	2	11	key_status_2	997.4000	aligned_by_order
1158.5273437500	n/a	stimulus	n/a	296583.0000000000	128	12	MW_question	1052.7000	stimulus_value_128_is_MW_prompt_in_EEG
1161.7539062500	n/a	response	n/a	297409.0000000000	4	12	key_status_1	1055.9000	aligned_by_order
1165.2109375000	n/a	response	n/a	298294.0000000000	2	12	key_status_2	1059.3000	aligned_by_order
1167.5820312500	n/a	response	n/a	298901.0000000000	2	12	key_status_3	1061.7000	aligned_by_order
1234.5859375000	n/a	stimulus	n/a	316054.0000000000	128	13	MW_question	1128.7000	stimulus_value_128_is_MW_prompt_in_EEG
1240.3789062500	n/a	response	n/a	317537.0000000000	2	13	key_status_1	1134.5000	aligned_by_order
1350.1992187500	n/a	stimulus	n/a	345651.0000000000	128	14	MW_question	1244.3000	stimulus_value_128_is_MW_prompt_in_EEG
1355.1484375000	n/a	response	n/a	346918.0000000000	2	14	key_status_1	1247.0000	txt_key0_present_in_eeg_rare
1441.3593750000	n/a	stimulus	n/a	368988.0000000000	128	15	MW_question	1335.5000	stimulus_value_128_is_MW_prompt_in_EEG
1450.0625000000	n/a	response	n/a	371216.0000000000	4	15	key_status_1	1341.0000	txt_key0_present_in_eeg_rare
